t_sec,q,w,o,p
7.68333,1,0,0,0
7.70000,1,0,0,0
7.71667,1,0,0,0
7.73333,1,0,0,0
7.75000,1,0,0,0
7.76667,1,0,0,0
7.78333,1,0,0,0
7.80000,1,0,0,0
7.81667,1,0,0,1
7.83333,1,0,0,1
7.85000,1,0,0,1
7.86667,1,0,0,1
7.88333,1,0,0,1
7.90000,1,0,0,1
7.91667,1,0,0,1
7.93333,1,0,0,1
7.95000,1,0,0,0
7.96667,1,0,0,0
7.98333,1,1,0,0
8.00000,1,1,0,0
8.01667,1,1,0,0
8.03333,1,1,0,0
8.05000,0,1,0,0
8.06667,0,1,0,0
8.08333,0,1,0,0
8.10000,0,1,0,0
8.11667,0,1,0,0
8.13333,0,1,0,0
8.15000,0,1,1,0
8.16667,0,1,1,0
8.18333,0,1,1,0
8.20000,0,1,1,0
8.21667,0,1,1,0
8.23333,0,1,1,0
8.25000,0,1,0,0
8.26667,0,1,0,0
8.28333,0,1,0,0
8.30000,0,1,0,0
8.31667,0,0,0,0
8.33333,0,0,0,0
8.35000,0,0,0,0
8.36667,0,0,0,0
8.38333,0,0,0,0
8.40000,0,0,0,0
8.41667,0,1,0,0
8.43333,0,1,0,0
8.45000,0,1,0,0
8.46667,0,1,0,0
8.48333,0,1,0,0
8.50000,0,1,0,0
8.51667,0,1,0,0
8.53333,0,1,0,0
8.55000,0,1,0,0
8.56667,0,1,0,0
8.58333,0,1,0,0
8.60000,0,1,0,0
8.61667,0,1,0,0
8.63333,0,1,0,0
8.65000,0,1,0,0
8.66667,0,1,0,0
8.68333,0,1,0,0
8.70000,0,1,0,0
8.71667,0,1,0,0
8.73333,0,1,0,0
8.75000,0,1,0,0
8.76667,0,1,0,0
8.78333,0,1,0,0
8.80000,0,1,0,0
8.81667,0,1,0,0
8.83333,0,1,0,0
8.85000,0,1,0,0
8.86667,0,1,0,0
8.88333,0,1,0,0
8.90000,0,1,0,0
8.91667,0,1,0,0
8.93333,0,1,0,0
8.95000,0,1,0,0
8.96667,0,1,0,0
8.98333,0,1,0,0
9.00000,0,1,0,0
9.01667,1,1,0,0
9.03333,1,1,0,0
9.05000,1,1,0,1
9.06667,1,1,0,1
9.08333,1,1,0,1
9.10000,1,1,0,1
9.11667,1,0,0,1
9.13333,1,0,0,1
9.15000,1,0,0,0
9.16667,1,0,0,0
9.18333,0,0,0,0
9.20000,0,0,0,0
9.21667,0,0,0,0
9.23333,0,0,0,0
9.25000,0,0,0,0
9.26667,0,0,0,0
9.28333,0,0,0,0
9.30000,0,0,0,0
9.31667,0,0,0,0
9.33333,0,0,0,0
9.35000,0,0,0,0
9.36667,0,0,0,0
9.38333,0,0,0,0
9.40000,0,0,0,0
9.41667,1,0,0,0
9.43333,1,0,0,0
9.45000,1,0,0,0
9.46667,1,0,0,0
9.48333,1,0,0,0
9.50000,1,0,0,0
9.51667,1,0,1,0
9.53333,1,0,1,0
9.55000,1,0,1,0
9.56667,1,0,1,0
9.58333,1,0,1,0
9.60000,1,0,1,0
9.61667,1,0,1,0
9.63333,1,0,1,0
9.65000,1,0,1,0
9.66667,1,0,1,0
9.68333,1,0,1,0
9.70000,1,0,1,0
9.71667,1,0,1,0
9.73333,1,0,1,0
9.75000,1,0,1,0
9.76667,1,0,1,0
9.78333,1,0,1,0
9.80000,1,0,1,0
9.81667,1,0,1,0
9.83333,1,0,1,0
9.85000,1,0,0,0
9.86667,1,0,0,0
9.88333,1,0,0,0
9.90000,1,0,0,0
9.91667,1,0,0,0
9.93333,1,0,0,0
9.95000,1,0,0,0
9.96667,1,0,0,0
9.98333,1,0,0,0
10.00000,1,0,0,0
10.01667,1,0,0,1
10.03333,1,0,0,1
10.05000,1,0,0,1
10.06667,1,0,0,1
10.08333,1,0,0,1
10.10000,1,0,0,1
10.11667,1,0,0,0
10.13333,1,0,0,0
10.15000,0,0,0,0
10.16667,0,0,0,0
10.18333,0,0,0,0
10.20000,0,0,0,0
10.21667,0,0,0,0
10.23333,0,0,0,0
10.25000,0,1,0,0
10.26667,0,1,0,0
10.28333,0,1,0,0
10.30000,0,1,0,0
10.31667,0,1,0,0
10.33333,0,1,0,0
10.35000,0,1,0,0
10.36667,0,1,0,0
10.38333,0,1,0,0
10.40000,0,1,0,0
10.41667,0,1,0,0
10.43333,0,1,0,0
10.45000,0,1,0,0
10.46667,0,1,0,0
10.48333,0,1,0,0
10.50000,0,1,0,0
10.51667,0,1,0,0
10.53333,0,1,0,0
10.55000,0,1,0,0
10.56667,0,1,0,0
10.58333,0,1,0,0
10.60000,0,1,0,0
10.61667,0,1,0,1
10.63333,0,1,0,1
10.65000,0,1,0,1
10.66667,0,1,0,1
10.68333,0,1,0,1
10.70000,0,1,0,1
10.71667,0,1,0,1
10.73333,0,1,0,1
10.75000,0,1,0,1
10.76667,0,1,0,1
10.78333,0,1,0,1
10.80000,0,1,0,1
10.81667,0,1,0,1
10.83333,0,1,0,1
10.85000,0,1,0,1
10.86667,0,1,0,1
10.88333,0,1,0,1
10.90000,0,1,0,1
10.91667,0,1,0,0
10.93333,0,1,0,0
10.95000,0,1,0,0
10.96667,0,1,0,0
10.98333,0,1,0,0
11.00000,0,1,0,0
11.01667,0,1,0,0
11.03333,0,1,0,0
11.05000,0,1,0,0
11.06667,0,1,0,0
11.08333,0,1,0,0
11.10000,0,1,0,0
11.11667,0,1,1,0
11.13333,0,1,1,0
11.15000,0,1,1,0
11.16667,0,1,1,0
11.18333,1,1,1,0
11.20000,1,1,1,0
11.21667,1,1,1,0
11.23333,1,1,1,0
11.25000,1,0,0,1
11.26667,1,0,0,1
11.28333,1,0,0,1
11.30000,1,0,0,1
11.31667,0,0,0,0
11.33333,0,0,0,0
11.35000,0,0,0,0
11.36667,0,0,0,0
11.38333,0,0,0,0
11.40000,0,0,0,0
11.41667,0,0,0,0
11.43333,0,0,0,0
11.45000,0,0,0,0
11.46667,0,0,0,0
11.48333,0,0,0,0
11.50000,0,0,0,0
11.51667,0,0,0,0
11.53333,0,0,0,0
11.55000,0,0,0,0
11.56667,0,0,0,0
11.58333,1,0,0,0
11.60000,1,0,0,0
11.61667,1,0,0,0
11.63333,1,0,0,0
11.65000,1,0,1,0
11.66667,1,0,1,0
11.68333,1,0,1,0
11.70000,1,0,1,0
11.71667,1,0,1,0
11.73333,1,0,1,0
11.75000,1,0,1,0
11.76667,1,0,1,0
11.78333,1,0,1,0
11.80000,1,0,1,0
11.81667,1,0,1,0
11.83333,1,0,1,0
11.85000,1,0,1,0
11.86667,1,0,1,0
11.88333,1,0,1,0
11.90000,1,0,1,0
11.91667,1,0,1,0
11.93333,1,0,1,0
11.95000,1,0,1,0
11.96667,1,0,1,0
11.98333,1,0,1,0
12.00000,1,0,1,0
12.01667,1,0,1,0
12.03333,1,0,1,0
12.05000,1,0,1,0
12.06667,1,0,1,0
12.08333,1,0,1,0
12.10000,1,0,1,0
12.11667,1,0,0,0
12.13333,1,0,0,0
12.15000,1,0,0,0
12.16667,1,0,0,0
12.18333,1,0,0,0
12.20000,1,0,0,0
12.21667,1,0,0,0
12.23333,1,0,0,0
12.25000,1,0,0,1
12.26667,1,0,0,1
12.28333,1,0,0,1
12.30000,1,0,0,1
12.31667,1,0,0,1
12.33333,1,0,0,1
12.35000,1,0,0,1
12.36667,1,0,0,1
12.38333,1,0,0,1
12.40000,1,0,0,1
12.41667,0,1,0,1
12.43333,0,1,0,1
12.45000,0,1,0,1
12.46667,0,1,0,1
12.48333,0,1,0,1
12.50000,0,1,0,1
12.51667,0,1,0,1
12.53333,0,1,0,1
12.55000,0,1,0,1
12.56667,0,1,0,1
12.58333,0,1,0,1
12.60000,0,1,0,1
12.61667,0,1,0,1
12.63333,0,1,0,1
12.65000,0,1,0,1
12.66667,0,1,0,1
12.68333,0,1,0,1
12.70000,0,1,0,1
12.71667,0,1,0,1
12.73333,0,1,0,1
12.75000,0,1,0,1
12.76667,0,1,0,1
12.78333,0,1,0,1
12.80000,0,1,0,1
12.81667,0,1,0,1
12.83333,0,1,0,1
12.85000,0,1,0,1
12.86667,0,1,0,1
12.88333,0,1,0,1
12.90000,0,1,0,1
12.91667,0,1,0,1
12.93333,0,1,0,1
12.95000,0,1,0,1
12.96667,0,1,0,1
12.98333,0,1,0,1
13.00000,0,1,0,1
13.01667,0,1,0,1
13.03333,0,1,0,1
13.05000,0,1,0,1
13.06667,0,1,0,1
13.08333,0,1,0,1
13.10000,0,1,0,1
13.11667,0,1,0,0
13.13333,0,1,0,0
13.15000,0,1,0,0
13.16667,0,1,0,0
13.18333,0,1,0,0
13.20000,0,1,0,0
13.21667,0,1,0,0
13.23333,0,1,0,0
13.25000,0,1,0,0
13.26667,0,1,0,0
13.28333,0,1,0,0
13.30000,0,1,0,0
13.31667,0,1,0,0
13.33333,0,1,0,0
13.35000,1,1,0,1
13.36667,1,1,0,1
13.38333,1,1,0,1
13.40000,1,1,0,1
13.41667,1,1,0,1
13.43333,1,1,0,1
13.45000,1,0,0,1
13.46667,1,0,0,1
13.48333,1,0,0,0
13.50000,1,0,0,0
13.51667,0,0,0,0
13.53333,0,0,0,0
13.55000,0,0,0,0
13.56667,0,0,0,0
13.58333,0,0,0,0
13.60000,0,0,0,0
13.61667,0,0,0,0
13.63333,0,0,0,0
13.65000,0,0,0,0
13.66667,0,0,0,0
13.68333,0,0,0,0
13.70000,0,0,0,0
13.71667,1,0,0,0
13.73333,1,0,0,0
13.75000,1,0,0,0
13.76667,1,0,0,0
13.78333,1,0,0,0
13.80000,1,0,0,0
13.81667,1,0,0,0
13.83333,1,0,0,0
13.85000,1,0,0,0
13.86667,1,0,0,0
13.88333,1,0,1,0
13.90000,1,0,1,0
13.91667,1,0,1,0
13.93333,1,0,1,0
13.95000,1,0,1,0
13.96667,1,0,1,0
13.98333,1,0,1,0
14.00000,1,0,1,0
14.01667,1,0,1,0
14.03333,1,0,1,0
14.05000,1,0,1,0
14.06667,1,0,1,0
14.08333,1,0,1,0
14.10000,1,0,1,0
14.11667,1,0,1,0
14.13333,1,0,1,0
14.15000,1,0,1,0
14.16667,1,0,1,0
14.18333,1,0,0,0
14.20000,1,0,0,0
14.21667,1,0,0,0
14.23333,1,0,0,0
14.25000,1,0,0,1
14.26667,1,0,0,1
14.28333,1,0,0,1
14.30000,1,0,0,1
14.31667,1,0,0,0
14.33333,1,0,0,0
14.35000,1,0,0,0
14.36667,1,0,0,0
14.38333,1,1,0,0
14.40000,1,1,0,0
14.41667,0,1,0,0
14.43333,0,1,0,0
14.45000,0,1,0,0
14.46667,0,1,0,0
14.48333,0,1,0,0
14.50000,0,1,0,0
14.51667,0,1,0,0
14.53333,0,1,0,0
14.55000,0,1,0,0
14.56667,0,1,0,0
14.58333,0,1,0,0
14.60000,0,1,0,0
14.61667,0,1,0,0
14.63333,0,1,0,0
14.65000,0,1,0,0
14.66667,0,1,0,0
14.68333,0,1,0,0
14.70000,0,1,0,0
14.71667,0,1,1,0
14.73333,0,1,1,0
14.75000,0,1,1,0
14.76667,0,1,1,0
14.78333,0,1,0,0
14.80000,0,1,0,0
14.81667,0,1,0,0
14.83333,0,1,0,0
14.85000,0,1,0,0
14.86667,0,1,0,0
14.88333,0,1,0,1
14.90000,0,1,0,1
14.91667,0,1,0,1
14.93333,0,1,0,1
14.95000,0,1,0,1
14.96667,0,1,0,1
14.98333,0,1,0,1
15.00000,0,1,0,1
15.01667,0,1,0,1
15.03333,0,1,0,1
15.05000,0,1,0,1
15.06667,0,1,0,1
15.08333,0,1,0,1
15.10000,0,1,0,1
15.11667,0,1,0,1
15.13333,0,1,0,1
15.15000,0,1,0,1
